,position,beta,z,gross_return,cost_drag,net_return,equity,turnover
2019-10-04,0.0,1.1552858389581548,-1.9784713830270337,-0.0,0.0,-0.0,975583.1754703921,0.0
2019-10-07,0.0,1.1533307827939046,-1.59423187935792,-0.0,0.0,-0.0,975583.1754703921,0.0
2019-10-08,0.0,1.1515838912702026,-1.027576971021143,-0.0,0.0,-0.0,975583.1754703921,0.0
2019-10-09,0.0,1.1502028203371526,-2.127239225193056,0.0,0.0,0.0,975583.1754703921,0.0
2019-10-10,1.0,1.1498118061500877,1.617229733979472,0.003499599729855805,0.0007,0.002799599729855805,978314.4178648908,1.0
2019-10-11,1.0,1.1505335106981163,0.4854259398186289,0.0009649582559639829,2.185449723248356e-07,0.0009647397109916581,979258.2366336408,0.0003122071033211937
2019-10-14,0.0,1.150933924533238,0.011988366380092385,0.0,0.0007,-0.0007,978572.7558679973,1.0
2019-10-15,0.0,1.1509455275477358,-2.1180163007233235,-0.0,0.0,-0.0,978572.7558679973,0.0
2019-10-16,1.0,1.1482805800524292,-1.6920699004057853,-0.003930291472962623,0.0007,-0.004630291472962623,974041.6787808281,1.0
2019-10-17,1.0,1.1460362607919756,0.03753261355881435,0.00016539605640407125,6.815294291505125e-07,0.00016471452697492073,974202.1175952025,0.0009736134702150179
2019-10-18,0.0,1.1546147377704834,1.6916336006527064,0.0,0.0007,-0.0007,973520.1761128858,1.0
2019-10-21,0.0,1.157990334866955,-0.4421884028482779,0.0,0.0,0.0,973520.1761128858,0.0
2019-10-22,0.0,1.1575997324016623,0.7526636164852001,0.0,0.0,0.0,973520.1761128858,0.0
2019-10-23,0.0,1.1587134092213014,-0.30104343260590033,0.0,0.0,0.0,973520.1761128858,0.0
2019-10-24,0.0,1.1583886401230652,0.11923686088170507,0.0,0.0,0.0,973520.1761128858,0.0
2019-10-25,0.0,1.158527217474139,1.0438250955543358,0.0,0.0,0.0,973520.1761128858,0.0
2019-10-28,0.0,1.160261441102325,0.0020777845206577145,0.0,0.0,0.0,973520.1761128858,0.0
2019-10-29,0.0,1.160260006727103,-0.725163909132552,0.0,0.0,0.0,973520.1761128858,0.0
2019-10-30,0.0,1.158340889362654,1.130333351004866,0.0,0.0,0.0,973520.1761128858,0.0
2019-10-31,0.0,1.1604619987454612,0.09257238026090545,0.0,0.0,0.0,973520.1761128858,0.0
2019-11-01,0.0,1.1605715680526172,0.7711089047307796,0.0,0.0,0.0,973520.1761128858,0.0
2019-11-04,0.0,1.1624201248239319,-0.5607012401522588,0.0,0.0,0.0,973520.1761128858,0.0
